date,close
2017-08-27,4467.2
2017-05-08,1690.37
2017-04-30,1293.12
2017-03-27,1042.29
2016-05-02,457.37
2018-07-28,7784.69
2018-05-16,8698.17
2017-05-21,2128.58
2016-06-07,595.05
2016-10-25,685.45
2017-04-13,1091.83
2016-09-03,597.84
2018-07-03,6576.01
2017-05-07,1714.85
2017-03-10,1214.27
2017-12-11,16246.09
2018-04-24,9187.8
2016-06-24,671.88
2018-01-13,13912.59
2018-11-14,6063.03
2016-07-18,662.48
2017-02-04,1016.99
2017-01-31,967.53
2018-01-31,8402.38
2017-11-22,6988.92
2018-07-08,6624.7
2017-12-19,16348.47
2018-10-03,6566.29
2017-01-02,941.68
2016-09-06,608.69
2018-05-18,8538.02
2018-10-23,6483.47
2016-12-25,929.53
2017-03-12,1188.63
2016-10-28,701.89
2017-11-04,7111.21
2016-05-31,524.07
2016-09-01,588.81
2018-09-20,6523.47
2018-01-02,14891.34
2017-06-19,2639.83
2018-05-20,8087.34
2018-01-18,11650.65
2016-07-29,651.05
2016-11-17,735.97
2017-05-03,1439.2
2018-08-07,6441.42
2018-03-08,9352.2
2016-12-04,772.32
2018-02-22,8934.33
2016-07-08,662.95
2016-08-13,580.59
2018-02-12,8861.86
2018-08-10,7119.97
2017-03-18,1055.87
2017-10-06,4408.77
2018-11-03,6448.45
2018-04-14,7274.57
2017-03-19,1070.13
2018-02-13,8739.72
2018-10-25,6454.8
2017-02-21,1062.5
2016-08-05,587.21
2018-06-18,7086.57
2016-05-17,446.43
2018-03-13,9158.76
2017-12-14,16696.23
2018-09-25,7207.66
2017-04-21,1299.89
2016-06-23,651.04
2017-10-04,4285.41
2017-06-20,2622.83
2016-06-06,597.72
2017-10-17,5761.53
2016-10-26,694.18
2017-02-23,1181.62
2018-01-10,14813.33
2017-11-28,10614.98
2017-07-27,2669.44
2016-09-16,610.48
2017-12-24,14631.78
2017-02-22,1058.02
2018-09-03,6646.01
2016-05-25,455.32
2017-04-22,1194.69
2018-10-12,6365.52
2016-11-24,756.31
2017-06-27,2444.65
2018-04-30,9159.73
2018-02-26,8981.13
2017-05-14,1715.65
2017-05-19,2147.28
2018-09-29,6537.92
2017-06-02,2433.76
2018-05-28,7226.46
2018-02-03,8866.43
2016-10-20,691.3
2017-06-10,2660.58
2016-06-25,681.75
2017-02-06,1016.18
2018-01-28,10976.17
2018-09-18,6517.01
2017-06-01,2458.22
2018-04-13,8772.01
2016-08-31,586.57
2017-07-30,2695.96
2018-06-30,6428.19
2017-07-31,2679.81
2016-08-22,584.46
2017-04-03,1184.62
2016-08-12,583.27
2018-02-23,9165.95
2018-03-21,8831.43
2018-03-06,10900.44
2018-07-21,6559.16
2016-08-30,588.25
2016-12-31,931.95
2017-08-14,4054.24
2016-05-16,452.72
2016-05-05,456.29
2016-10-17,643.16
2017-01-20,914.8
2017-03-09,1212.16
2018-02-15,8471.3
2016-10-16,642.64
2017-11-09,7492.03
2018-06-17,6771.1
2016-08-16,612.88
2017-04-24,1084.38
2018-09-19,6501.98
2016-08-15,584.84
2018-04-03,8408.29
2016-10-29,685.49
2017-02-27,1174.02
2018-02-20,9903.81
2018-09-13,6486.55
2018-11-23,4111.99
2018-04-04,6642.45
2017-09-04,4380.11
2017-11-30,10646.68
2018-05-05,9616.82
2016-05-06,456.2
2016-07-22,661.6
2017-07-09,2594.49
2018-06-14,6605.65
2018-01-27,11257.01
2016-05-04,455.89
2018-01-07,16348.42
2017-07-05,2586.59
2018-08-16,6495.29
2017-02-13,1009.61
2017-09-20,3968.59
2017-02-17,1043.63
2018-03-31,6654.42
